Name of the College,State,District,Type(Male/Female/Co-edu),Govt/Private,Qualification,Other Degree,Trade/Branch
Vivekanand Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Vivekanand Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Vivekanand Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Draughtsman(Mech)
Uddyan Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Uddyan Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Technocrats Institute of Skills and Technology Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Technocrats Institute of Skills and Technology Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Technocrats Institute of Skills and Technology Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Mechanical Diesel
Tata Industrial Training Centre,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Tata Industrial Training Centre,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Swami Vivekananda Private Industrial Training Institute ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Swami Vivekananda Private Industrial Training Institute ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Swami Vivekananda Private Industrial Training Institute ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,COPA
Swami Vivekananda Private Industrial Training Institute ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Welder
Sarojini Tech. Institute Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Sarojini Tech. Institute Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Sarojini Tech. Institute Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Mechanic (Refrigerator and Air-Conditioning)
RNS Institute of Technology Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
RNS Institute of Technology Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
RNS Institute of Technology Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Mechanical Diesel
Rashtriya Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Rashtriya Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Rashtriya Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,COPA
Ranchi Television and Electronics Trg Centre ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electronics Mechanic
Ranchi Television and Electronics Trg Centre ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Ranchi Television and Electronics Trg Centre ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Ramashakhi Ramashish Pvt ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
"Rambha Industrial Training Centre, Harharguttu",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
"Rambha Industrial Training Centre, Harharguttu",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
"Rambha Industrial Training Centre, Harharguttu",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Welder
"Rambha Industrial Training Centre, Harharguttu",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Mechanic (Refrigerator and Air-Conditioning)
"PVT ITI, UCIL, Township Turamdhil",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
"PVT ITI, UCIL, Township Turamdhil",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
"PVT ITI, UCIL, Township Turamdhil",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Welder
Prashuram PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Prashuram PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Parmanand Pvt ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Parmanand Pvt ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Nardhan Pvt ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Mujahidul Islam PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Mujahidul Islam PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Mujahidul Islam PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Plumber
Meher PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Meher PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Maa Rankhini Industrial Training Centre Gopalpur,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Maa Rankhini Industrial Training Centre Gopalpur,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Maa Rankhini Industrial Training Centre Gopalpur,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,COPA
Maa Rankhini Industrial Training Centre Gopalpur,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Mechanical Diesel
Khetro Mohan Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Jamshedpur Private ITI Peragudi,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Jamshedpur Private ITI Peragudi,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Jamshedpur Private ITI Munda Colony,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Jamshedpur Private ITI Munda Colony,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Indra Institute of Technology Industry ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Indra Institute of Technology Industry ,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Ideal Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Ideal Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Ideal Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Welder
Freedom PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Freedom PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Jamshedpur Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Jamshedpur Private ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Bharat PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Bharat PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
"Balajee Industrial Training Centre, Baharagora",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
"Balajee Industrial Training Centre, Baharagora",Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Amyank PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Electrician
Amyank PVT ITI,Jharkhand ,East Singhbhum,Co-edu,Private ,ITI,None,Fitter
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Electrician
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Fitter
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Draughtsman(Mech)
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,COPA
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Mechanical Diesel
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Welder
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Electronics Mechanic
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Information Technology
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Turner
Government Industrial Training Institute Jamshedpur,Jharkhand ,East Singhbhum,Co-edu,Govt,ITI,None,Mechanic (Motor Vehicle)
Government Industrial Training Centre For Women Jamshedpur,Jharkhand ,East Singhbhum,Female ,Govt,ITI,None,COPA
Government Industrial Training Centre For Women Jamshedpur,Jharkhand ,East Singhbhum,Female ,Govt,ITI,None,Mechanic (Refrigerator and Air-Conditioning)
Government Industrial Training Centre For Women Jamshedpur,Jharkhand ,East Singhbhum,Female ,Govt,ITI,None,Electronis Mechanic
Government Industrial Training Centre For Women Jamshedpur,Jharkhand ,East Singhbhum,Female ,Govt,ITI,None,ICTSM
Government Industrial Training Centre For Women Jamshedpur,Jharkhand ,East Singhbhum,Female ,Govt,ITI,None,Sewing Technology 
Government Industrial Training Centre For Women Jamshedpur,Jharkhand ,East Singhbhum,Female ,Govt,ITI,None,Stenographer & Secretarial Assistant (Hindi)
GOVT ITI GHAGHRA,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Electrician
GOVT ITI GHAGHRA,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Fitter
GOVT ITI GHAGHRA,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Welder
GOVT ITI GHAGHRA,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Mechanical Diesel
"Govt Women ITI , Gumla",Jharkhand,Gumla,Female,Govt,ITI,None,Electronics Mechanic
Gumla Private ITI,Jharkhand,Gumla,Co-ed,Private,ITI,None,Electrician
Gumla Private ITI,Jharkhand,Gumla,Co-ed,Private,ITI,None,Fitter
Gumla Private ITI,Jharkhand,Gumla,Co-ed,Private,ITI,None,Mechanical Diesel
"ITI, Sisai, Gumla",Jharkhand,Gumla,Co-ed,Govt,ITI,None,Electrician
"ITI, Sisai, Gumla",Jharkhand,Gumla,Co-ed,Govt,ITI,None,Fitter
"ITI, Sisai, Gumla",Jharkhand,Gumla,Co-ed,Govt,ITI,None,Mechanical Diesel
"ITI, Sisai, Gumla",Jharkhand,Gumla,Co-ed,Govt,ITI,None,COPA
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Electrician
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Fitter
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,COPA
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Mechanical Diesel
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Welder
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Mechanic 
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Machinist
Govt ITI Gumla,Jharkhand,Gumla,Co-ed,Govt,ITI,None,Wireman
Woman ITI ,Jharkhand,Garhwa,Girl's,Private,ITI,None,COPA
Woman ITI ,Jharkhand,Garhwa,Girl's,Private,ITI,None,Basic Cosmetology
Gandhian Institute of Technology,Jharkhand,Garhwa,Co-edu,Private,ITI,None,Electrician
Gandhian Institute of Technology,Jharkhand,Garhwa,Co-edu,Private,ITI,None,Fitter
Gandhian Institute of Technology,Jharkhand,Garhwa,Co-edu,Private,ITI,None,Finanicial Executive
Gandhian Institute of Technology,Jharkhand,Garhwa,Co-edu,Private,ITI,None,SmartphoneTechnician Cum App Tester
ITI in Ranka ,Jharkhand,Garhwa,Co-edu,Private,ITI,None,COPA
ITI in Ranka ,Jharkhand,Garhwa,Co-edu,Private,ITI,None,Electrician
ITI in Ranka ,Jharkhand,Garhwa,Co-edu,Private,ITI,None,Fitter
ITI in Ranka ,Jharkhand,Garhwa,Co-edu,Private,ITI,None,Plumber
ITI in Ranka ,Jharkhand,Garhwa,Co-edu,Private,ITI,None,Electronics Mechanic
"Govt. ITI , Bhandariya ",Jharkhand,Garhwa,Co-edu,Government,ITI,None,Electrician
"Govt. ITI , Bhandariya ",Jharkhand,Garhwa,Co-edu,Government,ITI,None,Fitter
"Govt. ITI , Bhandariya ",Jharkhand,Garhwa,Co-edu,Government,ITI,None,Welder
"Govt. ITI , Bhandariya ",Jharkhand,Garhwa,Co-edu,Government,ITI,None,Mechanical Diesel
"Govt. ITI , Jhagratand",jharkhand,Garhwa,Co-edu,Government,ITI,None,Welder
"Govt. ITI , Jhagratand",jharkhand,Garhwa,Co-edu,Government,ITI,None,Mechanical Diesel
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,COPA
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Electrician
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Fitter
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Welder
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Wireman
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Turner
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Electronics Mechanic
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,MMV
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Information Technology
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Mechanical Diesel
"Govt. ITI , Garhwa",jharkhand,Garhwa,Co-edu,Government,ITI,None,Daughtsman Mechanical
